test_ID,test_file,has_requires,has_ensures,#_char,#_hint_char,#_lemma,#_function,#_method,verifies_without_hints
000,630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,True,True,674,0,0,1,1,False
001,703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints.dfy,True,False,1184,0,0,0,1,True
002,703FinalProject_tmp_tmpr_10rn4z_gaussian_no_hints.dfy,True,False,737,0,0,1,1,True
003,AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary_no_hints.dfy,True,True,7377,0,14,7,3,False
004,AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring_no_hints.dfy,True,True,6228,0,5,0,2,False
005,AssertivePrograming_tmp_tmpwf43uz0e_MergeSort_no_hints.dfy,True,True,5569,0,10,0,9,False
006,BPTree-verif_tmp_tmpq1z6xm1d_Utils_no_hints.dfy,True,True,9781,0,14,3,5,False
007,BinarySearchTree_tmp_tmp_bn2twp5_bst4copy_no_hints.dfy,True,True,4366,0,0,0,8,False
008,CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints.dfy,True,True,9793,0,0,0,16,True
009,CS494-final-project_tmp_tmp7nof55uq_bubblesort_no_hints.dfy,True,True,2124,0,0,0,2,False
010,CS5232_Project_tmp_tmpai_cfrng_LFUSimple_no_hints.dfy,True,True,3806,0,0,0,4,False
011,CS5232_Project_tmp_tmpai_cfrng_test_no_hints.dfy,False,True,327,0,0,0,1,False
012,CSC8204-Dafny_tmp_tmp11yhjb53_stack_no_hints.dfy,True,False,596,0,0,4,2,True
013,CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints.dfy,True,False,7069,0,0,0,16,True
014,CVS-Projto1_tmp_tmpb1o0bu8z_Hoare_no_hints.dfy,True,True,1423,0,0,2,6,False
015,CVS-Projto1_tmp_tmpb1o0bu8z_fact_no_hints.dfy,False,True,1201,0,5,5,0,True
016,CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1_no_hints.dfy,True,True,1506,0,1,2,3,False
017,CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints.dfy,True,False,1037,0,0,0,2,True
